id,customer_id,value,date
1,13,177.67,2025-01-13
2,4,833.29,2025-02-08
3,38,440.65,2025-01-31
4,5,650.73,2025-02-16
5,36,57.43,2025-01-25
6,9,80.53,2025-02-03
7,42,899.89,2025-02-10
8,47,2015.48,2025-01-07
9,29,919.46,2025-01-21
10,22,126.59,2025-01-03
11,16,109.71,2025-01-17
12,12,728.34,2025-01-17
13,5,686.57,2025-01-27
14,44,968.45,2025-02-20
15,2,217.58,2025-01-10
16,35,973.08,2025-02-09
17,20,653.0,2025-02-16
18,23,651.23,2025-02-02
19,19,389.86,2025-01-09
20,25,56.08,2025-01-23
21,40,299.2,2025-01-29
22,4,754.37,2025-01-02
23,35,319.37,2025-01-10
24,36,342.12,2025-01-23
25,50,235.5,2025-02-11
26,16,402.8,2025-02-18
27,3,2078.76,2025-02-07
28,28,420.68,2025-01-20
29,36,240.65,2025-02-05
30,6,100.51,2025-02-01
31,10,683.5,2025-02-12
32,41,167.35,2025-01-01
33,36,762.72,2025-02-20
34,4,470.38,2025-02-11
35,35,475.84,2025-02-05
36,38,636.25,2025-01-14
37,17,402.02,2025-02-03
38,48,958.65,2025-01-11
39,24,819.34,2025-01-23
40,30,362.58,2025-01-14
41,45,311.44,2025-02-23
42,6,653.01,2025-01-22
43,29,939.82,2025-01-13
44,35,727.97,2025-02-10
45,42,894.2,2025-01-30
46,31,156.48,2025-02-21
47,24,718.51,2025-03-02
48,50,519.34,2025-02-01
49,19,887.53,2025-01-27
50,41,359.34,2025-02-12
51,6,893.97,2025-02-03
52,47,457.4,2025-01-22
53,2,762.18,2025-02-17
54,22,59.3,2025-01-13
55,33,146.63,2025-02-16
56,41,142.58,2025-02-02
57,14,676.99,2025-02-07
58,5,615.97,2025-01-02
59,49,721.0,2025-02-09
60,12,276.28,2025-02-26
61,42,570.2,2025-02-14
62,32,696.34,2025-02-26
63,32,203.81,2025-01-05
64,1,762.23,2025-02-05
65,34,866.54,2025-01-06
66,15,535.97,2025-02-27
67,39,53.38,2025-02-11
68,41,107.57,2025-02-26
69,42,695.27,2025-02-04
70,49,280.39,2025-01-03
71,28,576.5,2025-03-01
72,37,597.05,2025-02-27
73,44,458.7,2025-01-12
74,4,455.18,2025-01-25
75,5,305.72,2025-01-03
76,50,359.6,2025-01-18
77,31,441.93,2025-01-08
78,45,621.54,2025-01-05
79,15,829.32,2025-01-28
80,31,375.88,2025-01-02
81,3,586.22,2025-02-21
82,48,492.58,2025-01-16
83,43,784.97,2025-02-03
84,28,158.8,2025-02-23
85,47,846.68,2025-02-20
86,43,581.98,2025-02-05
87,14,333.44,2025-02-17
88,36,187.94,2025-01-23
89,8,400.65,2025-02-05
90,37,622.37,2025-03-01
91,43,780.01,2025-01-25
92,7,122.55,2025-01-03
93,36,130.42,2025-01-03
94,22,892.81,2025-02-19
95,47,695.62,2025-02-02
96,18,1696.69,2025-02-22
97,9,939.4,2025-01-05
98,22,394.66,2025-01-23
99,30,647.16,2025-02-28
100,16,801.51,2025-02-05
101,41,79.4,2025-01-29
102,31,723.11,2025-01-18
103,41,845.77,2025-02-02
104,22,888.35,2025-02-17
105,1,689.18,2025-03-01
106,16,119.52,2025-02-02
107,27,916.7,2025-01-17
108,16,795.77,2025-02-26
109,23,98.21,2025-01-26
110,32,714.43,2025-02-03
111,22,823.31,2025-01-18
112,31,260.61,2025-01-10
113,3,900.34,2025-01-20
114,50,201.13,2025-02-22
115,14,681.11,2025-01-02
116,10,195.88,2025-01-05
117,16,451.4,2025-01-22
118,41,540.82,2025-01-10
119,45,443.43,2025-01-19
120,24,783.78,2025-01-16
121,34,298.91,2025-01-25
122,47,229.96,2025-02-05
123,25,550.74,2025-02-11
124,2,983.65,2025-01-28
125,45,967.81,2025-01-18
126,20,314.08,2025-01-11
127,1,114.73,2025-01-05
128,47,992.34,2025-01-23
129,1,955.59,2025-01-15
130,38,883.28,2025-01-27
131,1,137.75,2025-03-02
132,7,231.77,2025-02-04
133,49,303.13,2025-01-10
134,8,417.38,2025-02-18
135,26,352.88,2025-02-08
136,41,63.3,2025-01-15
137,3,496.13,2025-01-03
138,9,562.74,2025-01-23
139,7,316.9,2025-01-06
140,47,363.64,2025-02-16
141,35,481.34,2025-01-06
142,6,746.97,2025-02-07
143,1,392.12,2025-02-22
144,23,410.37,2025-02-06
145,16,928.8,2025-02-17
146,29,60.11,2025-02-24
147,44,761.32,2025-02-05
148,47,629.65,2025-02-20
149,27,634.47,2025-02-03
150,30,464.3,2025-02-18
151,9,452.74,2025-01-28
152,19,681.98,2025-02-25
153,7,385.95,2025-02-13
154,3,641.34,2025-01-16
155,28,721.73,2025-01-17
156,31,744.24,2025-01-03
157,34,735.47,2025-01-31
158,33,586.89,2025-01-22
159,7,390.2,2025-01-12
160,23,505.03,2025-03-02
161,16,680.16,2025-01-07
162,10,539.59,2025-02-11
163,32,319.14,2025-01-17
164,7,403.23,2025-02-20
165,34,253.26,2025-01-20
166,31,814.54,2025-02-25
167,46,574.45,2025-03-02
168,12,815.94,2025-01-18
169,39,548.27,2025-01-07
170,22,125.02,2025-02-15
171,22,277.77,2025-02-03
172,38,318.06,2025-01-08
173,43,487.03,2025-01-16
174,35,297.18,2025-02-02
175,15,974.54,2025-01-01
176,9,519.93,2025-01-03
177,9,574.9,2025-01-17
178,32,275.42,2025-02-04
179,37,531.86,2025-02-11
180,9,936.54,2025-02-01
181,49,1947.24,2025-01-30
182,41,192.28,2025-01-14
183,50,875.69,2025-01-23
184,39,697.14,2025-02-12
185,21,792.77,2025-01-13
186,34,2121.62,2025-02-19
187,10,73.38,2025-02-26
188,44,605.31,2025-02-25
189,23,477.77,2025-01-23
190,14,567.03,2025-02-19
191,34,592.89,2025-01-11
192,47,521.96,2025-01-18
193,33,398.62,2025-02-02
194,40,492.19,2025-02-16
195,35,2062.92,2025-01-16
196,11,484.41,2025-02-23
197,37,399.6,2025-01-12
198,12,286.68,2025-02-01
199,29,425.6,2025-02-13
200,13,622.03,2025-01-17
201,50,109.72,2025-02-12
202,11,230.07,2025-01-24
203,6,219.9,2025-01-19
204,40,1752.8,2025-02-21
205,5,445.79,2025-01-22
206,26,307.79,2025-01-21
207,13,696.96,2025-01-08
208,31,971.21,2025-01-14
209,24,645.32,2025-01-24
210,45,204.05,2025-03-02
211,49,233.11,2025-02-14
212,44,208.47,2025-02-27
213,15,790.38,2025-02-22
214,21,616.69,2025-01-28
215,32,851.36,2025-01-28
216,15,424.82,2025-01-17
217,32,585.69,2025-01-19
218,8,347.94,2025-02-07
219,10,951.05,2025-02-26
220,37,694.59,2025-02-22
221,36,1840.36,2025-01-16
222,5,812.76,2025-02-04
223,5,805.67,2025-01-14
224,29,991.63,2025-02-03
225,4,971.35,2025-02-25
226,15,181.2,2025-02-06
227,48,157.13,2025-02-24
228,18,258.64,2025-02-02
229,45,338.16,2025-02-16
230,13,616.21,2025-01-08
231,30,756.8,2025-02-15
232,20,198.47,2025-02-25
233,42,308.1,2025-02-10
234,18,840.4,2025-01-11
235,50,761.14,2025-01-21
236,48,314.14,2025-01-14
237,37,256.23,2025-01-21
238,35,311.72,2025-01-14
239,16,895.19,2025-01-25
240,5,801.64,2025-01-20
241,33,615.89,2025-01-27
242,10,868.84,2025-01-08
243,39,879.98,2025-01-16
244,45,785.06,2025-01-09
245,27,130.58,2025-02-24
246,24,971.73,2025-01-09
247,40,240.64,2025-01-10
248,43,726.33,2025-01-15
249,32,865.74,2025-01-26
250,22,379.86,2025-01-25
251,1,533.59,2025-02-11
252,17,342.92,2025-01-27
253,45,916.67,2025-01-31
254,14,313.32,2025-02-04
255,7,425.72,2025-01-28
256,33,121.4,2025-01-30
257,42,567.79,2025-02-14
258,23,518.29,2025-01-14
259,6,425.63,2025-01-22
260,40,933.8,2025-02-28
261,50,104.04,2025-02-23
262,27,114.55,2025-01-04
263,48,382.97,2025-01-25
264,37,780.94,2025-01-24
265,42,267.12,2025-02-18
266,8,596.7,2025-02-01
267,14,962.44,2025-02-04
268,2,341.48,2025-02-27
269,48,562.99,2025-02-18
270,27,948.52,2025-02-03
271,13,2196.65,2025-01-08
272,48,2167.17,2025-01-16
273,13,793.71,2025-03-02
274,16,772.61,2025-02-06
275,48,628.95,2025-01-06
276,40,518.97,2025-01-24
277,37,227.56,2025-01-10
278,1,955.7,2025-01-02
279,17,533.01,2025-02-24
280,24,121.07,2025-02-07
281,29,305.33,2025-02-17
282,2,583.95,2025-01-17
283,43,132.49,2025-01-28
284,11,207.47,2025-01-03
285,37,247.43,2025-02-09
286,21,567.24,2025-02-14
287,8,222.49,2025-02-24
288,32,800.71,2025-01-14
289,17,351.89,2025-01-03
290,38,2340.33,2025-01-09
291,45,744.79,2025-02-27
292,50,398.45,2025-02-17
293,11,654.68,2025-02-27
294,17,1875.31,2025-01-27
295,4,574.76,2025-02-07
296,35,919.39,2025-01-12
297,42,492.19,2025-02-05
298,15,956.84,2025-02-27
299,15,246.51,2025-02-20
300,39,687.39,2025-02-19
301,17,51.74,2025-01-31
302,3,567.65,2025-02-04
303,31,902.52,2025-02-22
304,38,999.45,2025-01-13
305,29,158.2,2025-02-27
306,5,713.4,2025-02-17
307,29,887.39,2025-02-08
308,14,482.58,2025-02-26
309,2,2281.29,2025-02-23
310,14,127.07,2025-01-22
311,22,693.73,2025-02-21
312,26,124.76,2025-02-15
313,37,924.95,2025-02-26
314,48,853.92,2025-01-19
315,31,749.93,2025-02-22
316,8,1811.59,2025-01-30
317,47,625.16,2025-02-13
318,24,787.69,2025-02-19
319,22,129.32,2025-02-08
320,15,379.18,2025-03-02
321,30,438.49,2025-02-24
322,45,706.02,2025-01-28
323,45,892.26,2025-02-22
324,34,155.64,2025-02-20
325,34,981.73,2025-01-09
326,33,188.08,2025-01-29
327,39,659.73,2025-02-03
328,13,96.29,2025-02-08
329,50,992.1,2025-02-02
330,36,90.36,2025-01-03
331,8,373.18,2025-02-01
332,32,588.54,2025-01-11
333,9,176.17,2025-01-11
334,25,483.63,2025-02-17
335,20,339.1,2025-01-10
336,50,497.97,2025-02-07
337,50,564.9,2025-01-10
338,27,297.49,2025-02-01
339,40,278.53,2025-01-10
340,37,817.23,2025-01-17
341,47,295.51,2025-01-09
342,47,347.85,2025-01-25
343,9,970.38,2025-01-29
344,42,2204.58,2025-02-01
345,29,654.06,2025-02-02
346,43,276.99,2025-02-26
347,31,803.51,2025-01-03
348,4,318.36,2025-02-08
349,39,639.76,2025-01-11
350,6,929.22,2025-02-26
351,5,406.73,2025-01-02
352,9,2289.2,2025-02-25
353,48,792.92,2025-02-04
354,24,628.66,2025-01-03
355,27,759.74,2025-01-24
356,45,333.15,2025-01-26
357,22,309.29,2025-01-01
358,47,444.79,2025-02-19
359,30,800.02,2025-01-01
360,5,586.65,2025-02-12
361,1,370.49,2025-01-21
362,12,929.73,2025-02-06
363,47,823.4,2025-02-21
364,3,571.74,2025-02-24
365,9,282.48,2025-02-10
366,7,478.42,2025-01-07
367,29,341.19,2025-02-27
368,50,62.91,2025-01-02
369,1,72.85,2025-02-18
370,10,678.28,2025-01-16
371,20,138.18,2025-01-07
372,14,70.58,2025-02-03
373,46,910.18,2025-02-16
374,12,450.03,2025-01-10
375,24,310.19,2025-01-27
376,9,248.54,2025-01-12
377,30,889.0,2025-01-29
378,31,714.1,2025-02-12
379,21,229.95,2025-02-09
380,13,50.96,2025-01-20
381,49,849.4,2025-02-06
382,6,2218.88,2025-02-28
383,14,251.34,2025-02-04
384,12,616.51,2025-02-19
385,38,426.65,2025-01-14
386,45,937.15,2025-02-11
387,48,93.07,2025-01-14
388,31,982.13,2025-01-23
389,29,708.42,2025-01-16
390,1,220.18,2025-02-12
391,47,133.27,2025-01-25
392,40,636.31,2025-02-19
393,25,524.72,2025-02-01
394,30,621.41,2025-01-28
395,23,1990.1,2025-02-05
396,34,198.27,2025-02-21
397,30,122.91,2025-02-17
398,44,659.45,2025-03-01
399,29,250.72,2025-01-19
400,33,1677.68,2025-01-12
401,22,353.64,2025-02-27
402,33,501.18,2025-02-11
403,38,450.98,2025-01-12
404,28,836.35,2025-02-27
405,48,566.22,2025-02-20
406,14,789.01,2025-01-13
407,8,560.24,2025-03-01
408,37,264.74,2025-02-19
409,42,393.82,2025-01-28
410,45,257.08,2025-01-30
411,14,771.01,2025-02-22
412,37,146.17,2025-01-19
413,24,88.54,2025-02-22
414,14,980.65,2025-02-19
415,50,77.34,2025-01-21
416,12,911.5,2025-02-05
417,30,53.24,2025-01-29
418,6,977.32,2025-01-13
419,50,412.1,2025-02-25
420,36,433.24,2025-01-02
421,5,101.88,2025-02-02
422,3,202.57,2025-01-11
423,16,659.41,2025-01-09
424,42,498.43,2025-01-14
425,45,208.02,2025-02-16
426,12,357.2,2025-01-10
427,42,968.94,2025-01-13
428,47,608.86,2025-02-09
429,28,518.58,2025-01-29
430,48,905.41,2025-01-02
431,12,837.67,2025-01-27
432,16,338.49,2025-02-12
433,18,704.7,2025-01-25
434,17,732.4,2025-02-10
435,46,84.26,2025-02-08
436,34,478.21,2025-01-16
437,50,887.72,2025-02-16
438,22,102.58,2025-01-08
439,11,58.07,2025-01-17
440,8,940.04,2025-02-25
441,41,607.23,2025-01-05
442,7,825.7,2025-02-06
443,4,135.29,2025-02-02
444,16,244.17,2025-01-21
445,9,407.43,2025-02-11
446,14,2222.36,2025-02-04
447,3,209.41,2025-01-29
448,28,114.26,2025-01-08
449,49,248.56,2025-01-27
450,18,225.25,2025-01-21
451,30,484.45,2025-01-15
452,41,456.13,2025-01-13
453,2,481.81,2025-01-24
454,20,408.49,2025-02-22
455,24,679.25,2025-01-18
456,14,244.9,2025-01-25
457,15,268.89,2025-02-13
458,36,87.91,2025-01-30
459,1,579.56,2025-01-13
460,9,952.49,2025-02-15
461,24,84.97,2025-01-27
462,36,364.17,2025-01-06
463,10,844.48,2025-02-05
464,39,296.12,2025-01-01
465,3,176.83,2025-02-21
466,12,554.57,2025-01-23
467,33,306.3,2025-02-01
468,15,285.13,2025-01-06
